                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0354,                 3.3888,                 2.3221,                0.51241,                0.06407,                0.06257,                0.04618,                 2.2334,                 3.0334,                 2.5636,                0.07027,              0.0033033,              0.0033033
                      1,                 1.6739,                  2.595,                 2.0561,                0.29317,                0.08703,                0.06528,                 0.0476,                 2.1149,                 3.3076,                 2.5753,               0.040151,              0.0065172,              0.0065172
                      2,                 1.5661,                 2.5243,                 1.9847,                0.35074,                0.09554,                0.08142,                0.04806,                 2.0804,                 2.9627,                 2.5781,              0.0099114,              0.0096111,              0.0096111
                      3,                 1.5614,                 2.5186,                 1.9921,                0.59071,                0.07376,                0.06162,                0.03713,                 2.2056,                 3.0957,                  2.646,                0.00946,                0.00946,                0.00946
                      4,                 1.5312,                 2.4748,                 1.9678,                0.31782,                 0.1005,                0.06882,                0.04867,                 1.9976,                 3.1027,                 2.4099,                0.00946,                0.00946,                0.00946
                      5,                 1.4999,                 2.4516,                 1.9465,                0.52385,                0.11862,                0.09529,                0.06027,                 1.8296,                 2.7706,                 2.3394,                0.00928,                0.00928,                0.00928
                      6,                 1.4647,                 2.3849,                 1.9156,                0.59708,                 0.1173,                0.09466,                0.06007,                 1.8886,                 2.8201,                  2.313,                 0.0091,                 0.0091,                 0.0091
                      7,                 1.4463,                 2.3583,                 1.8816,                0.36147,                0.10037,                0.09941,                0.06464,                 1.8249,                 2.5433,                 2.1933,                0.00892,                0.00892,                0.00892
                      8,                 1.4139,                 2.3247,                 1.8495,                0.49747,                0.12883,                0.10737,                0.06856,                 1.7363,                  2.556,                 2.1831,                0.00874,                0.00874,                0.00874
                      9,                 1.3884,                 2.2899,                 1.8304,                0.34173,                0.13098,                0.09328,                0.06103,                 1.7409,                 2.5766,                 2.2073,                0.00856,                0.00856,                0.00856
                     10,                 1.3706,                 2.2595,                 1.8089,                0.49148,                 0.1165,                0.09603,                 0.0619,                  1.742,                 2.6294,                 2.1666,                0.00838,                0.00838,                0.00838
